instantaneo,cod_estacao,monoxido_carbono,particulas_finas,ozonio,latitude,longitude,categoria_local,temp_k,umidade,densidade_veicular,temp_c,media_particulas_categoria_x,media_particulas_categoria_y
2024-02-06 07:33:00,3,1.5953523588744445,11.231476501041003,32.17356098021122,-23.5433,-46.622,Residencial,300.8595140819,39.2483200845,697,27.70951408190001,32.660809537973506,32.660809537973506
2024-02-06 11:05:00,2,1.739811301890042,25.21748250473847,29.380708365575067,-23.5592,-46.641,Residencial,293.8144887793,42.8806579053,2868,20.66448877930003,32.660809537973506,32.660809537973506
2024-02-03 05:46:00,1,1.106863579303259,23.900131498178567,44.267745999473966,-23.5505,-46.6333,Comercial,303.3720258226,49.1806849005,95,30.222025822600017,33.27620089990331,33.27620089990331
2024-02-05 02:32:00,2,1.3139751044113683,30.66478791834227,27.352096973185024,-23.5592,-46.641,Residencial,300.4493188496,62.6451596116,1787,27.299318849600013,32.660809537973506,32.660809537973506
2024-02-06 17:17:00,3,1.0355193504706537,10.24127491541029,19.409946299861826,-23.5433,-46.622,Residencial,302.3058455361,40.279345833,890,29.155845536100003,32.660809537973506,32.660809537973506
2024-02-03 02:04:00,3,0.8344479204996911,37.22949393362155,20.489200120174157,-23.5433,-46.622,Residencial,297.3810961507,43.4035042622,2948,24.23109615070001,32.660809537973506,32.660809537973506
2024-02-04 23:36:00,4,0.3185572361282356,48.303694098992665,15.001684699150363,-23.571,-46.655,Industrial,292.9488914277,57.0196758496,296,19.798891427700028,33.3637646828424,33.3637646828424
2024-02-06 18:10:00,2,1.4467311071757327,50.429178591607496,29.860873132213435,-23.5592,-46.641,Residencial,294.5072342038,62.8023649972,1728,21.357234203800033,32.660809537973506,32.660809537973506
2024-02-07 21:46:00,4,2.1519210319563853,15.996721028192242,40.392202410161566,-23.571,-46.655,Industrial,297.3760672747,58.38556175,527,24.22606727470003,33.3637646828424,33.3637646828424
2024-02-06 01:35:00,2,1.117065478946268,15.114042056472265,33.89586025596325,-23.5592,-46.641,Residencial,302.8459811646,81.4551524432,1371,29.695981164600028,32.660809537973506,32.660809537973506
2024-02-06 08:00:00,3,0.8355624316658588,13.703582308175443,23.83520575330728,-23.5433,-46.622,Residencial,292.6414469625,62.0865820163,1072,19.49144696250005,32.660809537973506,32.660809537973506
2024-02-07 12:11:00,1,0.9651976942210274,30.573829077754883,33.80939417637656,-23.5505,-46.6333,Comercial,302.1995551637,78.5413801455,2282,29.049555163700006,33.27620089990331,33.27620089990331
2024-02-01 05:30:00,4,1.8097783651811392,16.483939853974505,37.76949135250126,-23.571,-46.655,Industrial,301.5737891819,58.9004269524,940,28.42378918190002,33.3637646828424,33.3637646828424
2024-02-04 08:59:00,3,1.9388276050725173,9.989095327610592,20.420386924322894,-23.5433,-46.622,Residencial,302.595602623,59.6244999896,2735,29.445602623000013,32.660809537973506,32.660809537973506
2024-02-01 12:50:00,1,2.1638320203131576,16.82806802524843,26.31442920277481,-23.5505,-46.6333,Comercial,295.3722701015,58.3053708836,2052,22.222270101500044,33.27620089990331,33.27620089990331
2024-02-03 05:14:00,2,1.8556074575879724,23.16049377477224,39.885895532284906,-23.5592,-46.641,Residencial,296.5687244346,64.9175361545,537,23.41872443460005,32.660809537973506,32.660809537973506
2024-02-06 21:13:00,1,1.871586272647596,37.35728282482909,19.294541060713986,-23.5505,-46.6333,Comercial,296.7415030004,30.9132878552,508,23.591503000399996,33.27620089990331,33.27620089990331
2024-02-03 12:07:00,4,1.1325150910434665,47.68394085534524,17.730045953536397,-23.571,-46.655,Industrial,302.3326416004,30.2119532266,1626,29.182641600400018,33.3637646828424,33.3637646828424
2024-02-02 18:46:00,3,0.9898199778216248,20.598256143323447,20.551622740495297,-23.5433,-46.622,Residencial,301.3118164196,40.8713432272,728,28.16181641960003,32.660809537973506,32.660809537973506
2024-02-03 11:54:00,1,0.9386917096767636,30.032472784316536,33.48634741957106,-23.5505,-46.6333,Comercial,304.2918887887,49.963357873,1369,31.141888788700044,33.27620089990331,33.27620089990331
2024-02-07 11:45:00,1,1.14797025387935,31.230656186596388,31.00661571058451,-23.5505,-46.6333,Comercial,301.7116336757,83.1107088664,2259,28.561633675700023,33.27620089990331,33.27620089990331
2024-02-05 00:14:00,1,0.4446775127343959,12.441975452613612,31.765557923020975,-23.5505,-46.6333,Comercial,300.4564991528,43.6208939881,506,27.30649915280003,33.27620089990331,33.27620089990331
2024-02-07 14:06:00,4,1.5028690800588689,45.15167230815291,42.24318914190705,-23.571,-46.655,Industrial,302.691907569,66.9470744035,2447,29.541907569000045,33.3637646828424,33.3637646828424
2024-02-07 08:00:00,1,1.6599602430118177,6.5562673839347285,39.27002047445074,-23.5505,-46.6333,Comercial,297.7374137444,82.6924747063,1713,24.58741374440001,33.27620089990331,33.27620089990331
2024-02-04 16:51:00,2,0.2869294942771132,55.64201628627339,36.84997751707824,-23.5592,-46.641,Residencial,291.6922611958,63.3112950816,1344,18.542261195799995,32.660809537973506,32.660809537973506
2024-02-04 03:06:00,3,0.9361031713459964,44.33992092406344,10.636113993050031,-23.5433,-46.622,Residencial,292.4296121801,76.9814245136,2346,19.279612180100003,32.660809537973506,32.660809537973506
2024-02-05 12:44:00,1,0.956422266244992,18.83499230643058,21.78468940497241,-23.5505,-46.6333,Comercial,302.2579243795,84.9820438265,530,29.107924379500048,33.27620089990331,33.27620089990331
2024-02-04 11:48:00,4,0.9094564038512968,11.728089357996224,11.799949635139807,-23.571,-46.655,Industrial,297.7645552708,68.3638026209,167,24.614555270799997,33.3637646828424,33.3637646828424
2024-02-06 10:19:00,4,0.8980939876529773,15.66178130231325,31.81712600641084,-23.571,-46.655,Industrial,297.0411314826,71.0371774383,2425,23.89113148260003,33.3637646828424,33.3637646828424
